id,first_name,last_name,email,gender,grade
1,Dorita,McPeake,dmcpeake0@paypal.com,Female,9.1
2,Fanechka,Label,flabel1@netlog.com,Female,1.9
3,Dehlia,Frewer,dfrewer2@soup.io,Genderfluid,5.2
4,Lesya,Snowden,lsnowden3@about.me,Female,2.7
5,Miguel,Mauro,mmauro4@goo.ne.jp,Male,8.5
6,Ring,McCathy,rmccathy5@ebay.com,Male,3.1
7,Sigfrid,Grigoriscu,sgrigoriscu6@yolasite.com,Male,5.6
8,Margot,Fielden,mfielden7@opera.com,Female,4.7
9,Wilfred,Delafont,wdelafont8@edublogs.org,Male,7.3
10,Siffre,Thuillier,sthuillier9@youku.com,Male,7.1
11,Daryle,Wybron,dwybrona@xing.com,Male,7.4
12,Josefina,Cattermole,jcattermoleb@facebook.com,Female,6.9
13,Gilburt,Andreichik,gandreichikc@illinois.edu,Male,6.2
14,Theodor,Mendes,tmendesd@buzzfeed.com,Male,2.5
15,Ray,Boggon,rboggone@senate.gov,Female,8.5
16,Bertha,Rentoll,brentollf@google.fr,Female,3.8
17,Blondie,Kezourec,bkezourecg@forbes.com,Female,3.9
18,Clive,O' Mullane,comullaneh@blogger.com,Male,4.3
19,Sauncho,Behrendsen,sbehrendseni@amazonaws.com,Male,8.9
20,Rahal,Loan,rloanj@zdnet.com,Female,3.3
21,Gabby,Odam,godamk@globo.com,Male,1.7
22,Jacklyn,Cicchinelli,jcicchinellil@harvard.edu,Female,3.7
23,Mattie,Rowantree,mrowantreem@sogou.com,Male,7.9
24,Benn,Brocklebank,bbrocklebankn@naver.com,Male,8.1
25,Kristo,Boyson,kboysono@dagondesign.com,Male,8.4
26,Dannie,Belasco,dbelascop@ftc.gov,Female,4.3
27,Alanna,Ethelston,aethelstonq@wsj.com,Female,3.5
28,Wit,Blaschek,wblaschekr@pagesperso-orange.fr,Male,6.2
29,Chandler,Thrower,cthrowers@jigsy.com,Male,5.8
30,Wenda,Rosso,wrossot@rambler.ru,Female,5.8
31,Joellyn,Barrington,jbarringtonu@imageshack.us,Female,1.3
