id,name,English,Math,Science,Total,Grade
1,Tilda Leat,81,87,93,132,Mandatory
2,Glen Peasby,64,14,18,253,bi-directional
3,Haleigh Vany,85,63,37,157,forecast
4,Brina Castano,20,59,45,28,Virtual
5,Jami Wixey,86,24,17,237,product
6,Nisse Wayon,98,25,4,91,next generation
7,Granny Skeermor,35,20,76,95,upward-trending
8,Waylon Dennehy,15,38,57,133,success
9,Edeline Chinnock,38,31,66,125,heuristic
10,Trixi Jesse,2,59,8,4,Face to face
11,Rochelle Wanklin,37,76,27,98,Proactive
12,Sayre Blacksland,26,34,20,263,process improvement
13,Emeline Benoist,33,71,14,211,zero tolerance
14,Olga Harfleet,84,99,24,122,24-Jul
15,Corly Threadgill,85,61,25,287,customer loyalty
16,Celene Brown,17,92,36,279,portal
17,Boyd Molyneaux,22,69,42,300,array
18,Brady Thorrington,41,26,92,34,circuit
19,Boyd Marsy,55,28,47,90,Grass-roots
20,Garland Itzhaki,72,58,59,256,cohesive
21,Lefty Poppleton,13,74,96,272,Cross-group
22,Zonda Treswell,9,39,100,103,3rd generation
23,Farr Kubal,73,68,83,194,throughput
24,Marrissa Esp,38,17,89,182,heuristic
25,Samaria McIlharga,91,58,29,299,Distributed
26,Lilah Kloster,72,71,4,283,Assimilated
27,Neddie Donald,91,54,63,213,Focused
28,Ezra Davidzon,24,67,1,12,coherent
29,Cecilia Lowings,51,76,92,63,empowering
30,Tess Zum Felde,53,9,78,96,regional
31,Cesar Poyzer,9,28,100,183,cohesive
32,Thorn Siviour,39,71,89,170,Fully-configurable
33,Antonietta Capron,16,37,19,197,well-modulated
34,Fina Culver,89,34,78,213,Synergized
35,Morse Faraker,2,7,23,201,eco-centric
36,Katharine Figura,82,51,68,251,explicit
37,Avivah Larkby,24,81,56,194,moderator
38,Jaime Hindenburg,7,73,29,217,incremental
39,Tudor Giberd,98,97,29,160,non-volatile
40,Ebba Grayer,12,63,28,74,Optional
41,Yuma Rudledge,99,39,14,1,bifurcated
42,Trista Chantler,92,78,31,291,Focused
43,Corbin Macguire,45,31,39,173,Exclusive
44,Mord Yakuntsov,55,10,79,138,task-force
45,Toni Treadwell,5,57,1,263,middleware
46,Inge Meiner,33,55,56,141,secured line
47,Dukie Heisham,97,77,16,279,Pre-emptive
48,Marv Molesworth,21,26,34,70,Compatible
49,Myrta Eloy,96,81,26,237,actuating
50,Marketa Lillicrap,91,4,28,28,multi-state
